Auction insights report,,,,,,
All time,,,,,,
Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
truckersauthority.com,< 10%,6.87%,81.26%,66.92%,22.47%,7.06%
cdl360.com,< 10%,6.48%,67.45%,62.21%,23.9%,7.15%
dotcompliancegroup.com,< 10%,13.77%,62.29%,47.85%,20.25%,6.84%
fmcsa.com,13.06%,3.36%,71.38%,78.08%,9.25%,7.3%
uscomplianceservices.org,11.65%,21.31%,62.86%,69.46%,8.04%,6.48%
dotservice.com,14.29%,21.93%,64.89%,63.81%,24.25%,6.42%
transcompservice.com,33.09%,50.8%,73.78%,74.98%,26.22%,4.68%
truckingauthority.com,< 10%,8.78%,64.16%,67.19%,19.76%,7.06%
freedotnumber.com,12.63%,24.83%,58.1%,67.23%,4.01%,6.4%
motorcarrierhq.com,< 10%,7.99%,50.61%,44.74%,12.8%,7.18%
dotmc.com,53.03%,42.65%,77.54%,89.37%,47.59%,5.01%
foley.io,10.31%,21.45%,67.89%,59.03%,28.27%,6.39%
authorityexpressllc.com,< 10%,19.12%,66.29%,65.81%,17.7%,6.53%
fmcafilings.com,35.74%,27.51%,77.44%,83.49%,17.2%,5.89%
dotfiler.com,35.99%,18.53%,71.47%,79.57%,25.32%,6.49%
You,< 10%,--,--,51.01%,11.35%,--
